Tanggal,Kode_Transaksi,Pelanggan,sub_total,lokasi_apotek
4/26/2023,TRX000000,Nova Damanik,808894,Surabaya
10/4/2023,TRX000001,Guest,430397,Jakarta
12/3/2024,TRX000002,Cut Karen Susanti,1324115,Yogyakarta
6/15/2024,TRX000003,"R.A. Widya Susanti, S.Gz",1036237,Surabaya
10/17/2024,TRX000004,Guest,461344,Bandung
1/22/2023,TRX000005,Dr. Jamalia Kuswoyo,749558,Jakarta
6/1/2023,TRX000006,"Jane Halim, S.E.I",757280,Jakarta
2/25/2024,TRX000007,Kajen Hutagalung,543193,Surabaya
8/14/2023,TRX000008,Putri Kurniawan,1062537,Yogyakarta
11/6/2024,TRX000009,Guest,1004694,Surabaya
5/26/2023,TRX000010,Guest,292185,Bandung
1/1/2024,TRX000011,Guest,240796,Semarang
5/24/2024,TRX000012,Guest,92257,Jakarta
2/1/2023,TRX000013,Guest,108682,Jakarta
9/8/2023,TRX000014,Guest,999246,Bandung
8/14/2024,TRX000015,Ratih Nasyiah,191987,Jakarta
12/13/2024,TRX000016,Guest,1599969,Yogyakarta
3/17/2024,TRX000017,Guest,224404,Yogyakarta
1/4/2024,TRX000018,Guest,380081,Bandung
7/31/2023,TRX000019,Guest,123908,Semarang
4/2/2023,TRX000020,Guest,73216,Semarang
7/18/2023,TRX000021,Guest,220693,Bandung
1/22/2024,TRX000022,Mulyanto Iswahyudi,931680,Surabaya
10/16/2024,TRX000023,"Oliva Putra, S.E.I",352472,Surabaya
4/21/2023,TRX000024,"R.A. Siska Suryono, S.IP",856295,Surabaya
10/8/2023,TRX000025,Guest,820183,Yogyakarta
10/3/2024,TRX000026,Guest,465864,Jakarta
11/26/2024,TRX000027,Guest,87900,Bandung
7/11/2024,TRX000028,Guest,302729,Semarang
4/5/2024,TRX000029,Guest,1730586,Surabaya
6/23/2024,TRX000030,"Dr. Devi Ramadan, S.T.",490066,Bandung
6/29/2023,TRX000031,Guest,629682,Jakarta
9/29/2023,TRX000032,Guest,117309,Jakarta
